"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Alt Text","Gift Card","SEO Title","SEO Description","Template Suffix","Status"
"aesthetic-labs-rt-triple-agonist-20-mg","Aesthetic Labs RT-Triple Agonist 20 mg","<h2>Aesthetic Labs RT-Triple Agonist 20 mg</h2><p><strong>Investigación metabólica avanzada.</strong></p><p>Compuesto liofilizado presentado para análisis técnico y contextos de laboratorio dentro de la colección Alicyn Lab.</p><h3>Presentación</h3><p>RT-Triple Agonist 20 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, investigacion-metabolica","TRUE","Presentación","20 mg","ALAB-RTTA-20","0","","","deny","manual","3000","TRUE","TRUE","","Aesthetic Labs RT-Triple Agonist 20 mg para investigación de laboratorio","FALSE","Aesthetic Labs RT-Triple Agonist 20 mg | Alicyn Lab","Compuesto Aesthetic Labs para investigación metabólica avanzada y análisis de laboratorio. Uso técnico exclusivo.","alicyn-lab","active"
"aesthetic-labs-bpc-157-10-mg","Aesthetic Labs BPC-157 10 mg","<h2>Aesthetic Labs BPC-157 10 mg</h2><p><strong>Respuesta tisular y señalización celular.</strong></p><p>Compuesto de investigación para estudio técnico de señalización y respuesta tisular en entornos de laboratorio.</p><h3>Presentación</h3><p>BPC-157 10 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, senalizacion-celular","TRUE","Presentación","10 mg","ALAB-BPC157-10","0","","","deny","manual","1250","TRUE","TRUE","","Aesthetic Labs BPC-157 10 mg para investigación de laboratorio","FALSE","Aesthetic Labs BPC-157 10 mg | Alicyn Lab","Péptido Aesthetic Labs para investigación en señalización celular y análisis técnico de laboratorio.","alicyn-lab","active"
"aesthetic-labs-tb-500-10-mg","Aesthetic Labs TB-500 10 mg","<h2>Aesthetic Labs TB-500 10 mg</h2><p><strong>Respuesta tisular e investigación preclínica.</strong></p><p>Presentación técnica de la colección Alicyn Lab para investigación en laboratorio y exploración documental de respuesta tisular.</p><h3>Presentación</h3><p>TB-500 10 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, respuesta-tisular","TRUE","Presentación","10 mg","ALAB-TB500-10","0","","","deny","manual","1350","TRUE","TRUE","","Aesthetic Labs TB-500 10 mg para investigación de laboratorio","FALSE","Aesthetic Labs TB-500 10 mg | Alicyn Lab","Compuesto Aesthetic Labs para investigación preclínica y estudio técnico en laboratorio.","alicyn-lab","active"
"aesthetic-labs-ghk-cu-100-mg","Aesthetic Labs GHK-CU 100 mg","<h2>Aesthetic Labs GHK-CU 100 mg</h2><p><strong>Skin wellness, colágeno y señalización celular.</strong></p><p>Compuesto Aesthetic Labs presentado bajo un enfoque beauty-tech para investigación de piel y señalización celular.</p><h3>Presentación</h3><p>GHK-CU 100 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, skin-wellness","TRUE","Presentación","100 mg","ALAB-GHKCU-100","0","","","deny","manual","1350","TRUE","TRUE","","Aesthetic Labs GHK-CU 100 mg para investigación skin wellness","FALSE","Aesthetic Labs GHK-CU 100 mg | Alicyn Lab","GHK-CU Aesthetic Labs para investigación beauty-tech, skin wellness y señalización celular en laboratorio.","alicyn-lab","active"
"aesthetic-labs-ipamorelin-10-mg","Aesthetic Labs Ipamorelin 10 mg","<h2>Aesthetic Labs Ipamorelin 10 mg</h2><p><strong>Secretagogos y señalización hormonal experimental.</strong></p><p>Compuesto de investigación Aesthetic Labs para exploración técnica en laboratorio dentro de Alicyn Lab.</p><h3>Presentación</h3><p>Ipamorelin 10 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, senalizacion-experimental","TRUE","Presentación","10 mg","ALAB-IPA-10","0","","","deny","manual","1250","TRUE","TRUE","","Aesthetic Labs Ipamorelin 10 mg para investigación de laboratorio","FALSE","Aesthetic Labs Ipamorelin 10 mg | Alicyn Lab","Compuesto Aesthetic Labs para investigación experimental y análisis técnico de laboratorio.","alicyn-lab","active"
"aesthetic-labs-cjc-1295-sin-dac-10-mg","Aesthetic Labs CJC-1295 Sin DAC 10 mg","<h2>Aesthetic Labs CJC-1295 Sin DAC 10 mg</h2><p><strong>Secretagogos y eje GH/IGF experimental.</strong></p><p>Presentación técnica para investigación de señalización experimental y revisión analítica en laboratorio.</p><h3>Presentación</h3><p>CJC-1295 Sin DAC 10 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, senalizacion-experimental","TRUE","Presentación","10 mg","ALAB-CJC1295-10","0","","","deny","manual","1800","TRUE","TRUE","","Aesthetic Labs CJC-1295 Sin DAC 10 mg para investigación","FALSE","Aesthetic Labs CJC-1295 Sin DAC 10 mg | Alicyn Lab","Compuesto Aesthetic Labs para estudio técnico del eje GH/IGF experimental en laboratorio.","alicyn-lab","active"
"aesthetic-labs-igf1-lr3-1-mg","Aesthetic Labs IGF1-LR3 1 mg","<h2>Aesthetic Labs IGF1-LR3 1 mg</h2><p><strong>Señalización IGF e investigación celular.</strong></p><p>Producto técnico Aesthetic Labs orientado a investigación celular y revisión de señalización IGF en laboratorio.</p><h3>Presentación</h3><p>IGF1-LR3 1 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, senalizacion-celular","TRUE","Presentación","1 mg","ALAB-IGF1LR3-1","0","","","deny","manual","1800","TRUE","TRUE","","Aesthetic Labs IGF1-LR3 1 mg para investigación celular","FALSE","Aesthetic Labs IGF1-LR3 1 mg | Alicyn Lab","Producto Aesthetic Labs para investigación celular y señalización IGF en laboratorio.","alicyn-lab","active"
"aesthetic-labs-mots-c-10-mg","Aesthetic Labs MOTS-C 10 mg","<h2>Aesthetic Labs MOTS-C 10 mg</h2><p><strong>Investigación mitocondrial y energía celular.</strong></p><p>Compuesto Aesthetic Labs para entornos de análisis técnico enfocados en mitocondria y energía celular.</p><h3>Presentación</h3><p>MOTS-C 10 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, cellular-energy","TRUE","Presentación","10 mg","ALAB-MOTSC-10","0","","","deny","manual","1800","TRUE","TRUE","","Aesthetic Labs MOTS-C 10 mg para investigación celular","FALSE","Aesthetic Labs MOTS-C 10 mg | Alicyn Lab","MOTS-C Aesthetic Labs para investigación mitocondrial y energía celular en laboratorio.","alicyn-lab","active"
"aesthetic-labs-aod-9604-10-mg","Aesthetic Labs AOD-9604 10 mg","<h2>Aesthetic Labs AOD-9604 10 mg</h2><p><strong>Investigación metabólica y composición corporal experimental.</strong></p><p>Presentación Aesthetic Labs para investigación metabólica de laboratorio dentro de una colección técnica y educativa.</p><h3>Presentación</h3><p>AOD-9604 10 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, investigacion-metabolica","TRUE","Presentación","10 mg","ALAB-AOD9604-10","0","","","deny","manual","1600","TRUE","TRUE","","Aesthetic Labs AOD-9604 10 mg para investigación metabólica","FALSE","Aesthetic Labs AOD-9604 10 mg | Alicyn Lab","AOD-9604 Aesthetic Labs para investigación metabólica experimental y análisis de laboratorio.","alicyn-lab","active"
"aesthetic-labs-hgh-fragment-176-191-5-mg","Aesthetic Labs HGH Fragment 176-191 5 mg","<h2>Aesthetic Labs HGH Fragment 176-191 5 mg</h2><p><strong>Investigación metabólica preclínica.</strong></p><p>Compuesto Aesthetic Labs para revisión experimental y análisis técnico en contexto de laboratorio.</p><h3>Presentación</h3><p>HGH Fragment 176-191 5 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, investigacion-metabolica","TRUE","Presentación","5 mg","ALAB-HGHF-5","0","","","deny","manual","1250","TRUE","TRUE","","Aesthetic Labs HGH Fragment 176-191 5 mg para investigación","FALSE","Aesthetic Labs HGH Fragment 176-191 5 mg | Alicyn Lab","HGH Fragment Aesthetic Labs para investigación metabólica preclínica y uso de laboratorio.","alicyn-lab","active"
"aesthetic-labs-t3s-10","Aesthetic Labs T3S@ 10","<h2>Aesthetic Labs T3S@ 10</h2><p><strong>Investigación metabólica avanzada.</strong></p><p>Presentación técnica Aesthetic Labs para análisis de laboratorio y exploración documental de investigación metabólica.</p><h3>Presentación</h3><p>T3S@ 10.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, investigacion-metabolica","TRUE","Presentación","10","ALAB-T3S-10","0","","","deny","manual","2500","TRUE","TRUE","","Aesthetic Labs T3S@ 10 para investigación de laboratorio","FALSE","Aesthetic Labs T3S@ 10 | Alicyn Lab","Producto Aesthetic Labs para investigación metabólica avanzada y análisis técnico de laboratorio.","alicyn-lab","active"
"aesthetic-labs-nad-1000-mg","Aesthetic Labs NAD+ 1000 mg","<h2>Aesthetic Labs NAD+ 1000 mg</h2><p><strong>Energía celular, mitocondria y longevidad celular.</strong></p><p>Compuesto Aesthetic Labs para investigación técnica relacionada con energía celular y mitocondria en laboratorio.</p><h3>Presentación</h3><p>NAD+ 1000 mg.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No es medicamento, suplemento alimenticio ni cosmético. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Producto de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, producto-individual, cellular-energy, longevidad-celular","TRUE","Presentación","1000 mg","ALAB-NAD-1000","0","","","deny","manual","2000","TRUE","TRUE","","Aesthetic Labs NAD+ 1000 mg para investigación celular","FALSE","Aesthetic Labs NAD+ 1000 mg | Alicyn Lab","NAD+ Aesthetic Labs para investigación en energía y longevidad celular en laboratorio.","alicyn-lab","active"
"stack-bpc-157-tb-500-aesthetic-labs","Stack BPC-157 + TB-500 Aesthetic Labs","<h2>Stack BPC-157 + TB-500 Aesthetic Labs</h2><p><strong>Paquete comercial para respuesta tisular experimental.</strong></p><p>Incluye BPC-157 + TB-500 y está organizado por eje de investigación. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, respuesta-tisular","TRUE","Componentes","BPC-157 + TB-500","ALAB-STK-BT","0","","","deny","manual","3600","TRUE","TRUE","","Stack BPC-157 y TB-500 Aesthetic Labs para investigación","FALSE","Stack BPC-157 + TB-500 Aesthetic Labs | Alicyn Lab","Paquete comercial Aesthetic Labs organizado para investigación de respuesta tisular experimental en laboratorio.","alicyn-lab","active"
"wolverine-stack-bpc-157-tb-500","Wolverine Stack BPC-157 + TB-500","<h2>Wolverine Stack BPC-157 + TB-500</h2><p><strong>Paquete comercial para investigación en respuesta tisular.</strong></p><p>Incluye BPC-157 + TB-500. El nombre comercial identifica la presentación y no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, respuesta-tisular","TRUE","Componentes","BPC-157 + TB-500","ALAB-STK-WOLV","0","","","deny","manual","2550","TRUE","TRUE","","Wolverine Stack BPC-157 y TB-500 para investigación","FALSE","Wolverine Stack BPC-157 + TB-500 | Alicyn Lab","Paquete Aesthetic Labs para investigación técnica de respuesta tisular en laboratorio.","alicyn-lab","active"
"protocolo-hgh-natural","Protocolo HGH Natural","<h2>Protocolo HGH Natural</h2><p><strong>Paquete comercial de secretagogos y señalización hormonal experimental.</strong></p><p>Incluye CJC-1295 + Ipamorelin. El nombre comercial no representa resultados ni recomendaciones de aplicación.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-experimental","TRUE","Componentes","CJC-1295 + Ipamorelin","ALAB-PR-HGH","0","","","deny","manual","2850","TRUE","TRUE","","Protocolo HGH Natural Aesthetic Labs para investigación","FALSE","Protocolo HGH Natural | Alicyn Lab","Paquete comercial para investigación experimental de señalización en laboratorio. Uso técnico exclusivo.","alicyn-lab","active"
"protocolo-volumen","Protocolo Volumen","<h2>Protocolo Volumen</h2><p><strong>Paquete comercial para señalización IGF y composición corporal experimental.</strong></p><p>Incluye IGF1-LR3 + CJC-1295 + Ipamorelin. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-celular","TRUE","Componentes","IGF1-LR3 + CJC-1295 + Ipamorelin","ALAB-PR-VOL","0","","","deny","manual","4650","TRUE","TRUE","","Protocolo Volumen Aesthetic Labs para investigación","FALSE","Protocolo Volumen | Alicyn Lab","Paquete Aesthetic Labs organizado para investigación de señalización IGF y composición corporal experimental.","alicyn-lab","active"
"protocolo-recuperacion-total","Protocolo Recuperación Total","<h2>Protocolo Recuperación Total</h2><p><strong>Paquete comercial para respuesta tisular y señalización celular.</strong></p><p>Incluye GHK-CU + BPC-157 + TB-500. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-celular","TRUE","Componentes","GHK-CU + BPC-157 + TB-500","ALAB-PR-RT","0","","","deny","manual","3800","TRUE","TRUE","","Protocolo Recuperación Total Aesthetic Labs para investigación","FALSE","Protocolo Recuperación Total | Alicyn Lab","Paquete comercial Aesthetic Labs para investigación de respuesta tisular y señalización celular.","alicyn-lab","active"
"protocolo-piel-y-longevidad-celular","Protocolo Piel y Longevidad Celular","<h2>Protocolo Piel y Longevidad Celular</h2><p><strong>Paquete comercial para skin wellness y longevidad celular.</strong></p><p>Incluye GHK-CU + NAD+ para exploración técnica beauty-tech. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, skin-wellness, longevidad-celular","TRUE","Componentes","GHK-CU + NAD+","ALAB-PR-PLC","0","","","deny","manual","3150","TRUE","TRUE","","Protocolo Piel y Longevidad Celular para investigación","FALSE","Protocolo Piel y Longevidad Celular | Alicyn Lab","Paquete Aesthetic Labs para investigación beauty-tech, skin wellness y longevidad celular en laboratorio.","alicyn-lab","active"
"protocolo-definicion","Protocolo Definición","<h2>Protocolo Definición</h2><p><strong>Paquete comercial para investigación metabólica experimental.</strong></p><p>Incluye HGH Fragment + AOD-9604. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, investigacion-metabolica","TRUE","Componentes","HGH Fragment + AOD-9604","ALAB-PR-DEF","0","","","deny","manual","6450","TRUE","TRUE","","Protocolo Definición Aesthetic Labs para investigación","FALSE","Protocolo Definición | Alicyn Lab","Paquete Aesthetic Labs organizado para investigación metabólica experimental en laboratorio.","alicyn-lab","active"
"protocolo-shred-definitivo","Protocolo Shred Definitivo","<h2>Protocolo Shred Definitivo</h2><p><strong>Paquete comercial para investigación metabólica avanzada.</strong></p><p>Incluye RT3 + AOD-9604. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, investigacion-metabolica","TRUE","Componentes","RT3 + AOD-9604","ALAB-PR-SHR","0","","","deny","manual","7400","TRUE","TRUE","","Protocolo Shred Definitivo Aesthetic Labs para investigación","FALSE","Protocolo Shred Definitivo | Alicyn Lab","Paquete comercial Aesthetic Labs para investigación metabólica avanzada y uso exclusivo de laboratorio.","alicyn-lab","active"
"protocolo-musculo-y-definicion","Protocolo Músculo y Definición","<h2>Protocolo Músculo y Definición</h2><p><strong>Paquete comercial para secretagogos y composición corporal experimental.</strong></p><p>Incluye Ipamorelin + CJC-1295 + HGH Fragment. El nombre comercial no representa resultados.</p><h3>Importante</h3><p>Uso exclusivo para investigación y laboratorio. No describe métodos de aplicación ni está destinado al consumo humano o animal.</p>","Aesthetic Labs","","Protocolo de investigación","alicyn-lab, aesthetic-labs, peptidos, investigacion, laboratorio, uso-tecnico, mexico, protocolo-investigacion, senalizacion-experimental","TRUE","Componentes","Ipamorelin + CJC-1295 + HGH Fragment","ALAB-PR-MD","0","","","deny","manual","5200","TRUE","TRUE","","Protocolo Músculo y Definición para investigación","FALSE","Protocolo Músculo y Definición | Alicyn Lab","Paquete Aesthetic Labs para investigación experimental y análisis técnico en laboratorio.","alicyn-lab","active"
